Year,Pixel Count,Area(m^2)
0,12541597,9344740016.354282
2001,5267,3924440.058641495
2002,6589,4909461.846665808
2003,4048,3016163.538519228
2004,11205,8348842.00817884
2005,3065,2283730.544852133
2006,9599,7152211.908657625
2007,4075,3036281.230105201
2008,6236,4646441.656671419
2009,6177,4602480.775057626
2010,32450,24178484.8875862
2011,10657,7940527.378952424
2012,6189,4611421.971318059
2013,2886,2150357.700634015
2014,18691,13926658.27531198
2015,8414,6269268.777939917
2016,1291,961923.6976848624
2017,3040,2265103.052642898
2018,2117,1577376.040277966
2019,28619,21324007.98144313
2020,5618,4185970.049259146
