Year,Pixel Count,Area(m^2)
0,62556078,47219902235.85478
2001,22050,16644247.49103673
2002,25738,19428101.67457158
2003,20320,15338372.2910597
2004,29300,22116845.87244336
2005,60668,45794703.25561071
2006,28031,21158952.44540819
2007,21266,16052452.02468876
2008,46502,35101623.43892018
2009,61422,46363853.487277
2010,32185,24294562.60766517
2011,31754,23969226.069405
2012,104480,78865803.98474002
2013,68452,51670386.8143513
2014,82818,62514434.86225305
2015,62343,47059062.19200466
2016,70110,52921913.4510923
2017,108875,82183330.86560652
2018,59018,44549215.34811817
2019,83442,62985455.74363205
2020,89372,67461663.79904465
