Year,Pixel Count,Area(m^2)
0,796650658,611702272597.7335
2001,28568,21935725.96480809
2002,39907,30642292.63783242
2003,32035,24597836.08522218
2004,19771,15181015.05356416
2005,27618,21206275.54242754
2006,39593,30401190.0771719
2007,19550,15011321.85004194
2008,31059,23848421.75654489
2009,65521,50309811.71031192
2010,49702,38163310.41385087
2011,40916,31417045.77065555
2012,50273,38601748.50982908
2013,47161,36212222.49462036
2014,55877,42904738.15932448
2015,52439,40264895.47285675
2016,194840,149606442.4175024
2017,92136,70745941.17521557
2018,52432,40259520.57500762
2019,41147,31594417.39967651
2020,64558,49570379.334783
