Year,Pixel Count,Area(m^2)
0,78334383,58611744438.24326
2001,3493,2613549.957019304
2002,2262,1692484.970735089
2003,1848,1382719.816940073
2004,2481,1856346.247742598
2005,7420,5551829.568016959
2006,2140,1601201.519616751
2007,4458,3335587.090865176
2008,2894,2165363.176528447
2009,2054,1536854.168828414
2010,3037,2272359.352839286
2011,1895,1417886.392370908
2012,4378,3275729.090131839
2013,2011,1504680.493434246
2014,2973,2224472.952252617
2015,2250,1683506.270625089
2016,2669,1997012.549465938
2017,8928,6680152.881840352
2018,3671,2746734.008650978
2019,5393,4035177.474436046
2020,4086,3057247.387455161
