Year,Pixel Count,Area(m^2)
0,22482646,16663621709.08572
2001,26127,19364733.3322458
2002,27885,20667722.62294462
2003,24616,18244814.77806723
2004,22951,17010754.9549651
2005,23321,17284990.47121002
2006,30938,22930536.22050065
2007,30625,22698547.79729887
2008,22889,16964801.97656731
2009,39844,29531459.21422289
2010,47987,35566864.10282386
2011,30336,22484347.62379946
2012,25953,19235768.52190359
2013,28826,21365170.24669183
2014,58158,43105376.09127535
2015,20372,15099259.28903094
2016,42303,31354013.63164519
2017,43457,32209331.97150096
2018,41263,30583189.47787569
2019,50705,37581383.38161761
2020,59750,44285329.98819942
