Year,Pixel Count,Area(m^2)
0,37724949,28900209015.17624
2001,11781,9025151.032219851
2002,4556,3490245.998030188
2003,6314,4837009.049947894
2004,6331,4850032.355910693
2005,6419,4917447.116188712
2006,10791,8266734.979092132
2007,6122,4689922.300250397
2008,6820,5224643.921546506
2009,7642,5854359.068688914
2010,9879,7568072.918029021
2011,7093,5433782.893772634
2012,10666,8170975.376424491
2013,8027,6149298.64490525
2014,6456,4945791.958578334
2015,5048,3867155.794130024
2016,8746,6700107.879449522
2017,5999,4595694.851225438
2018,6586,5045381.945352681
2019,5237,4011944.313363497
2020,9214,7058631.831837171
