Year,Pixel Count,Area(m^2)
0,16190101,12460026367.54916
2001,8945,6884140.862229779
2002,14340,11036174.39512298
2003,5448,4192822.740908646
2004,8632,6643253.652629117
2005,6254,4813126.54582281
2006,9204,7083469.25611659
2007,8332,6412371.343107716
2008,19972,15370604.95253808
2009,14367,11056953.8029799
2010,11222,8636537.591497215
2011,20368,15675369.60110633
2012,20947,16120972.45848264
2013,18900,14545585.49984828
2014,12512,9629331.52243924
2015,20330,15646124.50856696
2016,24820,19101663.07440393
2017,71521,55043112.19760045
2018,27674,21298123.44565086
2019,23179,17838736.84132186
2020,38152,29362072.909535
