Year,Pixel Count,Area(m^2)
0,55010774,42266860139.75255
2001,1227,942750.5490374735
2002,2565,1970786.600066112
2003,1139,875136.8177291624
2004,2205,1694184.971986658
2005,6317,4853590.234938648
2006,1912,1469061.980244213
2007,5274,4052213.851364006
2008,3397,2610043.696071962
2009,4158,3194748.804317697
2010,5000,3841689.27888131
2011,4144,3183992.07433683
2012,7594,5834757.676764933
2013,5972,4588513.674695836
2014,5740,4410259.292155744
2015,7869,6046050.587103406
2016,7267,5583511.197926096
2017,15596,11982997.19868658
2018,11788,9057166.643890576
2019,5464,4198198.043961496
2020,17720,13614946.80435536
